id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
2041,benrenshoucui,2.1,询问最近两天能否处理账单,那可以可以可以,那可以,3.1,账单日前能处理,yes
1239,benrenshoucui,2.1,询问最近两天能否处理账单,嗯那那那我我搞忘记了哈哈哈,嗯那我搞忘记了哈哈哈,-99.0,无效语义,invalid
1234,benrenshoucui,2.1,询问最近两天能否处理账单,哎你好那个啊,哎你好那个啊,-99.0,无效语义,invalid
1280,benrenshoucui,2.1,询问最近两天能否处理账单,嗯过两天啊,嗯过两天啊,3.1,账单日前能处理,yes
102,benrenshoucui,2.1,询问最近两天能否处理账单,还不能啊,还不能啊,3.2,账单日前不能处理,no
1210,benrenshoucui,2.1,询问最近两天能否处理账单,可以没问题,可以没问题,3.1,账单日前能处理,yes
835,benrenshoucui,2.1,询问最近两天能否处理账单,喂嗯是,喂嗯是,-99.0,无效语义,invalid
537,benrenshoucui,2.1,询问最近两天能否处理账单,服务员的还不了,服务员的还不了,3.2,账单日前不能处理,no
457,benrenshoucui,2.1,询问最近两天能否处理账单,那现在我也在想办法因为我才刚刚找到工作,那现在我也在想办法因为我才刚刚找到工作,3.2,账单日前不能处理,no
557,benrenshoucui,2.1,询问最近两天能否处理账单,我说现在暂时还没有钱,我说现在暂时还没有钱,3.2,账单日前不能处理,no
1381,benrenshoucui,2.1,询问最近两天能否处理账单,可以呀可以呀,可以呀可以呀,3.1,账单日前能处理,yes
1140,benrenshoucui,2.1,询问最近两天能否处理账单,这两三天的话恐怕有点困难我今天想办法吧,这两三天的话恐怕有点困难我今天想办法吧,3.2,账单日前不能处理,no
1492,benrenshoucui,2.1,询问最近两天能否处理账单,好知道是啊嗯可以,好知道是啊嗯可以,3.1,账单日前能处理,yes
135,benrenshoucui,2.1,询问最近两天能否处理账单,哦我知道了,哦我知道了,3.1,账单日前能处理,yes
618,benrenshoucui,2.1,询问最近两天能否处理账单,所以现在没钱没钱一个月了没钱,所以现在没钱一个月了没钱,3.2,账单日前不能处理,no
27,benrenshoucui,2.1,询问最近两天能否处理账单,我现在这个财务财务有问题就是资金有有问题,我现在这个财务有问题就是资金有问题,3.2,账单日前不能处理,no
733,benrenshoucui,2.1,询问最近两天能否处理账单,哦是,哦是,-99.0,无效语义,invalid
1192,benrenshoucui,2.1,询问最近两天能否处理账单,哦那材料处理,哦那材料处理,-99.0,无效语义,invalid
1289,benrenshoucui,2.1,询问最近两天能否处理账单,哦对电话处理好,哦对电话处理好,-99.0,无效语义,invalid
2177,benrenshoucui,2.1,询问最近两天能否处理账单,我今天就还我大概点左右我就过去,我今天就还我大概点左右我就过去,3.1,账单日前能处理,yes
1850,benrenshoucui,2.1,询问最近两天能否处理账单,嗯嗯嗯嗯嗯,嗯,3.1,账单日前能处理,yes
1297,benrenshoucui,2.1,询问最近两天能否处理账单,你好哎你说啊,你好哎你说啊,-99.0,无效语义,invalid
1269,benrenshoucui,2.1,询问最近两天能否处理账单,哦能能能能能,哦能,3.1,账单日前能处理,yes
902,benrenshoucui,2.1,询问最近两天能否处理账单,嗯会不会但是我担心他有影响,嗯会不会但是我担心他有影响,-99.0,无效语义,invalid
1499,benrenshoucui,2.1,询问最近两天能否处理账单,那我说可以,那我说可以,3.1,账单日前能处理,yes
645,benrenshoucui,2.1,询问最近两天能否处理账单,能能,能能,3.1,账单日前能处理,yes
556,benrenshoucui,2.1,询问最近两天能否处理账单,明这两天不能,明这两天不能,3.2,账单日前不能处理,no
