id,processid,type,corpus,normalize_corpus,create_time,update_time,add_user,source,mask
4,baseline,肯定,可以,可以,2018-08-16 17:41:38,,shipeng.wang,,0
5,baseline,肯定,可能是,可能是,2018-08-16 17:41:38,,shipeng.wang,,0
7,baseline,肯定,当然,当然,2018-08-16 17:41:38,,shipeng.wang,,0
8,baseline,肯定,好对,好对,2018-08-16 17:41:38,,shipeng.wang,,0
9,baseline,肯定,好,好,2018-08-16 17:41:38,,shipeng.wang,,0
10,baseline,肯定,好的是啊,好是,2018-08-16 17:41:38,,shipeng.wang,,0
11,baseline,肯定,那行,行,2018-08-16 17:41:38,,shipeng.wang,,0
12,baseline,肯定,对,对,2018-08-16 17:41:38,,shipeng.wang,,0
13,baseline,肯定,对是,对是,2018-08-16 17:41:38,,shipeng.wang,,0
14,baseline,肯定,就是,就是,2018-08-16 17:41:38,,shipeng.wang,,0
15,baseline,肯定,明白,明白,2018-08-16 17:41:38,,shipeng.wang,,0
16,baseline,肯定,是,是,2018-08-16 17:41:38,,shipeng.wang,,0
17,baseline,肯定,清楚,清楚,2018-08-16 17:41:38,,shipeng.wang,,0
18,baseline,肯定,知道,知道,2018-08-16 17:41:38,,shipeng.wang,,0
19,baseline,肯定,确定,确定,2018-08-16 17:41:38,,shipeng.wang,,0
20,baseline,肯定,差不多,差不多,2018-08-16 17:41:38,,shipeng.wang,,0
21,baseline,肯定,确认,确认,2018-08-16 17:41:38,,shipeng.wang,,0
25,baseline,肯定,记得,记得,2018-08-16 17:41:38,,shipeng.wang,,0
27,baseline,否定,不可以,不可以,2018-08-16 17:41:38,,shipeng.wang,,0
30,baseline,否定,不对,不对,2018-08-16 17:41:38,,shipeng.wang,,0
32,baseline,否定,不是,不是,2018-08-16 17:41:38,,shipeng.wang,,0
33,baseline,否定,弄错,弄错,2018-08-16 17:41:38,,shipeng.wang,,0
34,baseline,否定,搞错,搞错,2018-08-16 17:41:38,,shipeng.wang,,0
36,baseline,否定,没,没,2018-08-16 17:41:38,,shipeng.wang,,0
37,baseline,否定,好不是,好不是,2018-08-16 17:41:38,,shipeng.wang,,0
38,baseline,否定,没有,没有,2018-08-16 17:41:38,,shipeng.wang,,0
40,baseline,本人,是本人怎么了,是本人怎么了,2018-08-16 17:41:38,,shipeng.wang,,0
46,baseline,本人,是的怎么了有事吗,是怎么了有事吗,2018-08-16 17:41:38,,shipeng.wang,,0
47,baseline,本人,对啊你有什么事吗,对有什么事吗,2018-08-16 17:41:38,,shipeng.wang,,0
48,baseline,本人,说吧我是本人,说是本人,2018-08-16 17:41:38,,shipeng.wang,,0
49,baseline,本人,我就是干嘛你说吧,就是干嘛说,2018-08-16 17:41:38,,shipeng.wang,,0
51,baseline,肯定,应该可以,应该可以,2018-08-16 17:41:38,,shipeng.wang,,0
54,baseline,本人,对怎么了,对怎么了,2018-08-16 17:41:38,,shipeng.wang,,0
56,baseline,本人,对是本人,对是本人,2018-08-16 17:41:38,,shipeng.wang,,0
61,baseline,本人,可能是我是怎么啦,可能是怎么,2018-08-16 17:41:38,,shipeng.wang,,0
73,baseline,非本人,不本人,不本人,2018-08-16 17:41:38,,shipeng.wang,,0
74,baseline,非本人,啊不是我是她老公,不是是老公,2018-08-16 17:41:38,,shipeng.wang,,0
78,baseline,非本人,不是我没有做过那个,不是没有做过,2018-08-16 17:41:38,,shipeng.wang,,0
79,baseline,非本人,嗯不是打错了,不是打错了,2018-08-16 17:41:38,,shipeng.wang,,0
80,baseline,非本人,我不是本人,不是本人,2018-08-16 17:41:38,,shipeng.wang,,0
86,baseline,非本人,打错了,打错了,2018-08-16 17:41:38,,shipeng.wang,,0
87,baseline,非本人,打错电话了,打错电话了,2018-08-16 17:41:38,,shipeng.wang,,0
90,baseline,关联人,认识,认识,2018-08-16 17:41:38,,shipeng.wang,,0
91,baseline,关联人,对认识,对认识,2018-08-16 17:41:38,,shipeng.wang,,0
