id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
180,benrenshoucui,2.1,询问账单日能否处理账单,再见嗯,再见嗯,-99.0,无效语义,invalid
207,benrenshoucui,2.1,询问账单日能否处理账单,啊好好好,啊好好好,3.1,账单日前能处理,yes
245,benrenshoucui,2.1,询问账单日能否处理账单,嗯好好好好好,嗯好好好,3.1,账单日前能处理,yes
249,benrenshoucui,2.1,询问账单日能否处理账单,行好嘞嗯,行好嘞嗯,3.1,账单日前能处理,yes
463,benrenshoucui,2.1,询问账单日能否处理账单,请听到了听到了听到了你听到了吗,请听到了听到了听到了你听到了吗,-99.0,无效语义,invalid
486,benrenshoucui,2.1,询问账单日能否处理账单,喂喂喂,喂喂喂,-99.0,无效语义,invalid
678,benrenshoucui,2.1,询问账单日能否处理账单,嗯谢谢啊,嗯谢谢啊,-99.0,无效语义,invalid
727,benrenshoucui,2.1,询问账单日能否处理账单,哎是,哎是,-99.0,无效语义,invalid
741,benrenshoucui,2.1,询问账单日能否处理账单,淘宝,淘宝,-99.0,无效语义,invalid
816,benrenshoucui,2.1,询问账单日能否处理账单,啊能能我那个我,啊能我那个我,-99.0,无效语义,invalid
872,benrenshoucui,2.1,询问账单日能否处理账单,啊那那可以可以的没有问题啊嗯,啊那可以的没有问题啊嗯,-99.0,无效语义,invalid
1591,benrenshoucui,2.1,询问账单日能否处理账单,月日前,月日前,-99.0,无效语义,invalid
1819,benrenshoucui,2.1,询问账单日能否处理账单,行行行好嘞,行行行好嘞,3.1,账单日前能处理,yes
1970,benrenshoucui,2.1,询问账单日能否处理账单,哎对对,哎对,-99.0,无效语义,invalid
2596,benrenshoucui,2.1,询问账单日能否处理账单,你说你说,你说你说,-99.0,无效语义,invalid
2708,benrenshoucui,2.1,询问账单日能否处理账单,好嘞谢谢,好嘞谢谢,3.1,账单日前能处理,yes
3079,benrenshoucui,2.1,询问账单日能否处理账单,哎说,哎说,-99.0,无效语义,invalid
3170,benrenshoucui,2.1,询问账单日能否处理账单,能处理听不见吗,能处理听不见吗,3.1,账单日前能处理,yes
3176,benrenshoucui,2.1,询问账单日能否处理账单,嗯扣扣不可以等我工资发的我们号发工资,嗯扣扣不可以等我工资发的我们号发工资,3.2,账单日前不能处理,no
3183,benrenshoucui,2.1,询问账单日能否处理账单,哦暂时不行,哦暂时不行,3.2,账单日前不能处理,no
3184,benrenshoucui,2.1,询问账单日能否处理账单,我是问的是他车你要号嘛,我是问的是他车你要号嘛,-99.0,无效语义,invalid
3188,benrenshoucui,2.1,询问账单日能否处理账单,是的你没需求,是的你没需求,-99.0,无效语义,invalid
3205,benrenshoucui,2.1,询问账单日能否处理账单,嗯我处理,嗯我处理,3.1,账单日前能处理,yes
3206,benrenshoucui,2.1,询问账单日能否处理账单,没有因为我打算那明天我打不进啊,没有因为我打算那明天我打不进啊,-99.0,无效语义,invalid
3207,benrenshoucui,2.1,询问账单日能否处理账单,不管,不管,-99.0,无效语义,invalid
3213,benrenshoucui,2.1,询问账单日能否处理账单,处理不了能不能收我号才处理,处理不了能不能收我号才处理,3.2,账单日前不能处理,no
3215,benrenshoucui,2.1,询问账单日能否处理账单,哦月,哦月,-99.0,无效语义,invalid
3217,benrenshoucui,2.1,询问账单日能否处理账单,能不是他那个不是那个什么嘛他不是得到月得到,能不是他那个不是那个什么嘛他不是得到月得到,-99.0,无效语义,invalid
3220,benrenshoucui,2.1,询问账单日能否处理账单,王福超是这样的话我这个月这个月就是说全部还完又打进去打进去过后我后面再用在在就说买东西那些在办消费的话他就算按照后期那个他就不在按照那个之前的这个这个这个之前块钱的那个额度弄起来算那个利息了对不对,王福超是这样的话我这个月这个月就是说全部还完又打进去过后我后面再用在就说买东西那些在办消费的话他就算按照后期那个他就不在按照那个之前的这个之前块钱的那个额度弄起来算那个利息了对不对,-99.0,无效语义,invalid
3228,benrenshoucui,2.1,询问账单日能否处理账单,我还不上我要到号,我还不上我要到号,3.2,账单日前不能处理,no
3231,benrenshoucui,2.1,询问账单日能否处理账单,我忘记了忘记了忘记了我我不能跟我就还上去等我去就完了呗,我忘记了忘记了忘记了我不能跟我就还上去等我去就完了呗,-99.0,无效语义,invalid
3233,benrenshoucui,2.1,询问账单日能否处理账单,要是是吗,要是是吗,-99.0,无效语义,invalid
3234,benrenshoucui,2.1,询问账单日能否处理账单,航班说不来就刚开的,航班说不来就刚开的,-99.0,无效语义,invalid
