id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
271,benrenshoucui,2.1,询问最近两天能否处理账单,啊能能行,啊能能行,3.1,账单日前能处理,yes
540,benrenshoucui,2.1,询问最近两天能否处理账单,嗯可以这两天可以处理好,嗯可以这两天可以处理好,3.1,账单日前能处理,yes
1045,benrenshoucui,2.1,询问最近两天能否处理账单,嗯没错,嗯没错,-99.0,无效语义,invalid
1066,benrenshoucui,2.1,询问最近两天能否处理账单,呃肯定要要要要过几天啊这两天可能暂时还不能才会过几天,呃肯定要过几天啊这两天可能暂时还不能才会过几天,3.1,账单日前能处理,yes
1108,benrenshoucui,2.1,询问最近两天能否处理账单,哦不行我那个那个那个钱在那个银行里面卡住了要天工作日才可以取出来,哦不行我那个钱在那个银行里面卡住了要天工作日才可以取出来,3.2,账单日前不能处理,no
1171,benrenshoucui,2.1,询问最近两天能否处理账单,嗯嗯,嗯,3.1,账单日前能处理,yes
1212,benrenshoucui,2.1,询问最近两天能否处理账单,不需要我自己会处理再见,不需要我自己会处理再见,3.1,账单日前能处理,yes
1223,benrenshoucui,2.1,询问最近两天能否处理账单,啊可以可以可以我忘记了啊啊,啊可以我忘记了啊,3.1,账单日前能处理,yes
1238,benrenshoucui,2.1,询问最近两天能否处理账单,嗯好的好,嗯好的好,3.1,账单日前能处理,yes
1282,benrenshoucui,2.1,询问最近两天能否处理账单,这个资金出了点状况可能要过几天才能处理,这个资金出了点状况可能要过几天才能处理,3.2,账单日前不能处理,no
1320,benrenshoucui,2.1,询问最近两天能否处理账单,没问题马上忘记了忘记了,没问题马上忘记了忘记了,3.1,账单日前能处理,yes
1327,benrenshoucui,2.1,询问最近两天能否处理账单,能能能我忘了我这两天有事啊忘了,能能能我忘了我这两天有事啊忘了,3.1,账单日前能处理,yes
1351,benrenshoucui,2.1,询问最近两天能否处理账单,那你这个你这个号码显示显示不是诈骗电话我一直没敢接,那你这个你这个号码显示不是诈骗电话我一直没敢接,-99.0,无效语义,invalid
1437,benrenshoucui,2.1,询问最近两天能否处理账单,可以好的没有,可以好的没有,3.1,账单日前能处理,yes
1467,benrenshoucui,2.1,询问最近两天能否处理账单,好的等等,好的等等,3.1,账单日前能处理,yes
1525,benrenshoucui,2.1,询问最近两天能否处理账单,嗯可以明天都可以,嗯可以明天都可以,3.1,账单日前能处理,yes
1540,benrenshoucui,2.1,询问最近两天能否处理账单,行行,行,3.1,账单日前能处理,yes
1562,benrenshoucui,2.1,询问最近两天能否处理账单,嗯嗯嗯好好好这两天我尽快处理,嗯好好好这两天我尽快处理,3.1,账单日前能处理,yes
1572,benrenshoucui,2.1,询问最近两天能否处理账单,呃尽量把因为有点视频出差没没有办,呃尽量把因为有点视频出差没没有办,3.1,账单日前能处理,yes
1574,benrenshoucui,2.1,询问最近两天能否处理账单,可以呀我是转过去了邮政呢,可以呀我是转过去了邮政呢,3.1,账单日前能处理,yes
1575,benrenshoucui,2.1,询问最近两天能否处理账单,嗯是吧,嗯是吧,3.1,账单日前能处理,yes
1582,benrenshoucui,2.1,询问最近两天能否处理账单,能能能呃今天中午马上处理,能能能呃今天中午马上处理,3.1,账单日前能处理,yes
1585,benrenshoucui,2.1,询问最近两天能否处理账单,年我知道,年我知道,3.1,账单日前能处理,yes
1594,benrenshoucui,2.1,询问最近两天能否处理账单,哦我我这两天尽快嗯跟朋友联系然后去跟他们借还进去吗,哦我这两天尽快嗯跟朋友联系然后去跟他们借还进去吗,3.1,账单日前能处理,yes
1599,benrenshoucui,2.1,询问最近两天能否处理账单,哦好好的我都没注意这个时间哎好好好我看一下,哦好好的我都没注意这个时间哎好好好我看一下,3.1,账单日前能处理,yes
1606,benrenshoucui,2.1,询问最近两天能否处理账单,忙吧,忙吧,-99.0,无效语义,invalid
1608,benrenshoucui,2.1,询问最近两天能否处理账单,呃我尽力去处理吧,呃我尽力去处理吧,3.1,账单日前能处理,yes
1615,benrenshoucui,2.1,询问最近两天能否处理账单,可以呀可以的,可以呀可以的,3.1,账单日前能处理,yes
1627,benrenshoucui,2.1,询问最近两天能否处理账单,嗯行可以,嗯行可以,3.1,账单日前能处理,yes
1630,benrenshoucui,2.1,询问最近两天能否处理账单,哦好可以可以我现在那个这边我明天处理,哦好可以我现在那个这边我明天处理,3.1,账单日前能处理,yes
1634,benrenshoucui,2.1,询问最近两天能否处理账单,那可以没问题,那可以没问题,3.1,账单日前能处理,yes
1637,benrenshoucui,2.1,询问最近两天能否处理账单,难道可以还的嗯,难道可以还的嗯,-99.0,无效语义,invalid
1638,benrenshoucui,2.1,询问最近两天能否处理账单,嗯嗯嗯能,嗯能,3.1,账单日前能处理,yes
1644,benrenshoucui,2.1,询问最近两天能否处理账单,啊可以的可以的,啊可以的可以的,3.1,账单日前能处理,yes
1648,benrenshoucui,2.1,询问最近两天能否处理账单,嗯今天刚刚还了,嗯今天刚刚还了,3.1,账单日前能处理,yes
1653,benrenshoucui,2.1,询问最近两天能否处理账单,可以估计是忘了,可以估计是忘了,3.1,账单日前能处理,yes
1670,benrenshoucui,2.1,询问最近两天能否处理账单,啊行我知道了我马上还,啊行我知道了我马上还,3.1,账单日前能处理,yes
1672,benrenshoucui,2.1,询问最近两天能否处理账单,喂对,喂对,-99.0,无效语义,invalid
1677,benrenshoucui,2.1,询问最近两天能否处理账单,嗯您说您说,嗯您说您说,-99.0,无效语义,invalid
1679,benrenshoucui,2.1,询问最近两天能否处理账单,喂哎孙小姐断断续续的喂,喂哎孙小姐断断续续的喂,-99.0,无效语义,invalid
1680,benrenshoucui,2.1,询问最近两天能否处理账单,喂哎这话有点断断续续的你再说一下可以吧,喂哎这话有点断断续续的你再说一下可以吧,-99.0,无效语义,invalid
1682,benrenshoucui,2.1,询问最近两天能否处理账单,没错喂嗯,没错喂嗯,-99.0,无效语义,invalid
1690,benrenshoucui,2.1,询问最近两天能否处理账单,可以呀我你晓不晓不得马上的回复没跟我说呢没看到通知,可以呀我你晓不晓不得马上的回复没跟我说呢没看到通知,3.1,账单日前能处理,yes
1694,benrenshoucui,2.1,询问最近两天能否处理账单,马上处理好,马上处理好,3.1,账单日前能处理,yes
1695,benrenshoucui,2.1,询问最近两天能否处理账单,可以的马上,可以的马上,3.1,账单日前能处理,yes
1696,benrenshoucui,2.1,询问最近两天能否处理账单,能能能能好,能能能好,3.1,账单日前能处理,yes
1697,benrenshoucui,2.1,询问最近两天能否处理账单,哦我忘了这个事我我今天就处理了这是,哦我忘了这个事我今天就处理了这是,3.1,账单日前能处理,yes
1704,benrenshoucui,2.1,询问最近两天能否处理账单,我收到信息说,我收到信息说,-99.0,无效语义,invalid
1708,benrenshoucui,2.1,询问最近两天能否处理账单,好的可以,好的可以,3.1,账单日前能处理,yes
1711,benrenshoucui,2.1,询问最近两天能否处理账单,处理处理今天处理的,处理今天处理的,3.1,账单日前能处理,yes
1715,benrenshoucui,2.1,询问最近两天能否处理账单,哦能能能能能能能,哦能,3.1,账单日前能处理,yes
1721,benrenshoucui,2.1,询问最近两天能否处理账单,啊等会稍等啊好的知道了,啊等会稍等啊好的知道了,3.1,账单日前能处理,yes
1728,benrenshoucui,2.1,询问最近两天能否处理账单,哦行可以,哦行可以,3.1,账单日前能处理,yes
1740,benrenshoucui,2.1,询问最近两天能否处理账单,嗯可以呀,嗯可以呀,-99.0,无效语义,invalid
1745,benrenshoucui,2.1,询问最近两天能否处理账单,嗯等会,嗯等会,-99.0,无效语义,invalid
1747,benrenshoucui,2.1,询问最近两天能否处理账单,你好这是这个还可以啊地址那你退回吧,你好这是这个还可以啊地址那你退回吧,-99.0,无效语义,invalid
1749,benrenshoucui,2.1,询问最近两天能否处理账单,能啊那等来还款了忘了,能啊那等来还款了忘了,3.1,账单日前能处理,yes
1752,benrenshoucui,2.1,询问最近两天能否处理账单,嗯可以可以我刚才忘记了我明天我再回去,嗯可以我刚才忘记了我明天我再回去,3.1,账单日前能处理,yes
1754,benrenshoucui,2.1,询问最近两天能否处理账单,嗯能能能,嗯能,3.1,账单日前能处理,yes
1761,benrenshoucui,2.1,询问最近两天能否处理账单,好的可以的,好的可以的,3.1,账单日前能处理,yes
1766,benrenshoucui,2.1,询问最近两天能否处理账单,啊明白,啊明白,-99.0,无效语义,invalid
1773,benrenshoucui,2.1,询问最近两天能否处理账单,能能能后天吧,能能能后天吧,3.1,账单日前能处理,yes
1776,benrenshoucui,2.1,询问最近两天能否处理账单,你是邮政银行的怎么显示的是陕陕西汉中不是邮政银行的号码,你是邮政银行的怎么显示的是陕陕西汉中不是邮政银行的号码,-99.0,无效语义,invalid
