id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
807,benrenshoucui,2.1,询问账单日能否处理账单,不是我问你我我我他家还款呢,不是我问你我他家还款呢,-99.0,无效语义,invalid
4466,benrenshoucui,2.1,询问账单日能否处理账单,银行卡不要,银行卡不要,-99.0,无效语义,invalid
4010,benrenshoucui,2.1,询问账单日能否处理账单,四个,四个,-99.0,无效语义,invalid
698,benrenshoucui,2.1,询问账单日能否处理账单,哦好知道了,哦好知道了,3.1,账单日前能处理,yes
4840,benrenshoucui,2.1,询问账单日能否处理账单,也是关闭位,也是关闭位,-99.0,无效语义,invalid
5430,benrenshoucui,2.1,询问账单日能否处理账单,喂这个,喂这个,-99.0,无效语义,invalid
5066,benrenshoucui,2.1,询问账单日能否处理账单,嗯这行就行,嗯这行就行,3.1,账单日前能处理,yes
5030,benrenshoucui,2.1,询问账单日能否处理账单,啊我我一会就还上了,啊我一会就还上了,3.1,账单日前能处理,yes
4295,benrenshoucui,2.1,询问账单日能否处理账单,啊行行行,啊行行行,3.1,账单日前能处理,yes
3972,benrenshoucui,2.1,询问账单日能否处理账单,能谢谢,能谢谢,3.1,账单日前能处理,yes
6427,benrenshoucui,2.1,询问账单日能否处理账单,你们,你们,-99.0,无效语义,invalid
6493,benrenshoucui,2.1,询问账单日能否处理账单,好好好好我知道了好,好好我知道了好,3.1,账单日前能处理,yes
3323,benrenshoucui,2.1,询问账单日能否处理账单,啊不客气,啊不客气,-99.0,无效语义,invalid
1500,benrenshoucui,2.1,询问账单日能否处理账单,啊说啊是是是是是是,啊说啊是,-99.0,无效语义,invalid
4129,benrenshoucui,2.1,询问账单日能否处理账单,两个我不会我我我已经打一次了,两个我不会我已经打一次了,-99.0,无效语义,invalid
6811,benrenshoucui,2.1,询问账单日能否处理账单,啊能处理我今天早上回去处理完我再形成的,啊能处理我今天早上回去处理完我再形成的,3.1,账单日前能处理,yes
2647,benrenshoucui,2.1,询问账单日能否处理账单,嗨我是能能能听见了吗你还有别的事吗,嗨我是能听见了吗你还有别的事吗,3.1,账单日前能处理,yes
3002,benrenshoucui,2.1,询问账单日能否处理账单,能啊嗯,能啊嗯,3.1,账单日前能处理,yes
89,benrenshoucui,2.1,询问账单日能否处理账单,喂啊,喂啊,-99.0,无效语义,invalid
6820,benrenshoucui,2.1,询问账单日能否处理账单,是啊可以可以,是啊可以,3.1,账单日前能处理,yes
4960,benrenshoucui,2.1,询问账单日能否处理账单,哦行行可以,哦行行可以,3.1,账单日前能处理,yes
3119,benrenshoucui,2.1,询问账单日能否处理账单,我看,我看,-99.0,无效语义,invalid
6609,benrenshoucui,2.1,询问账单日能否处理账单,嗯可以可以我没没发现我没有提示的提示吧好像你看一下什么时候都是欠费停机的缘故,嗯可以我没发现我没有提示的提示吧好像你看一下什么时候都是欠费停机的缘故,3.1,账单日前能处理,yes
1005,benrenshoucui,2.1,询问账单日能否处理账单,没门没路能还上能还款的话,没门没路能还上能还款的话,-99.0,无效语义,invalid
4005,benrenshoucui,2.1,询问账单日能否处理账单,没呀,没呀,-99.0,无效语义,invalid
4067,benrenshoucui,2.1,询问账单日能否处理账单,嗯日可以吗我是不是发工资,嗯日可以吗我是不是发工资,-99.0,无效语义,invalid
2237,benrenshoucui,2.1,询问账单日能否处理账单,哦行啊分期掉了,哦行啊分期掉了,3.1,账单日前能处理,yes
5087,benrenshoucui,2.1,询问账单日能否处理账单,啊那那快点,啊那快点,-99.0,无效语义,invalid
267,benrenshoucui,2.1,询问账单日能否处理账单,应该还不行,应该还不行,3.2,账单日前不能处理,no
3264,benrenshoucui,2.1,询问账单日能否处理账单,那好谢谢啊,那好谢谢啊,-99.0,无效语义,invalid
2625,benrenshoucui,2.1,询问账单日能否处理账单,门处理,门处理,-99.0,无效语义,invalid
4249,benrenshoucui,2.1,询问账单日能否处理账单,所以号是吗,所以号是吗,-99.0,无效语义,invalid
